feature,mean_importance,std_importance,mean_rank
f62,0.000089,0.000011,666.33
f63,0.000054,0.000006,696.67
f64,0.000000,0.000000,772.00
f65,0.000000,0.000000,765.67
f66,0.000000,0.000000,766.67
f67,0.000000,0.000000,762.33
f68,0.000000,0.000000,768.33
f69,0.003594,0.001093,73.33
f70,0.007027,0.001550,30.33
f71,0.006916,0.000098,28.33
f72,0.000000,0.000000,757.67
f73,0.000000,0.000000,757.00
f74,0.000000,0.000000,752.00
f75,0.000000,0.000000,752.33
f76,0.000000,0.000000,748.00
f77,0.003023,0.000856,86.67
f78,0.006482,0.001925,38.33
f79,0.006695,0.000256,30.00
f80,0.004470,0.000703,55.67
f81,0.001870,0.000499,133.33
f82,0.007409,0.002256,29.33
f83,0.003192,0.001347,89.67
f84,0.008429,0.001205,23.00
f85,0.008746,0.001224,20.33
f86,0.005260,0.000165,45.67
f87,0.002447,0.000506,101.67
f88,0.005297,0.000310,45.67
f89,0.004823,0.000800,52.67
f90,0.005422,0.001140,45.33
f91,0.006035,0.000252,37.67
f92,0.000000,0.000000,749.00
f93,0.001408,0.000377,165.33
f94,0.001882,0.000257,127.33
f95,0.002404,0.000183,99.00
f96,0.003527,0.000571,73.00
f97,0.003896,0.001486,71.33
f98,0.014668,0.000306,8.67
f99,0.010407,0.001233,15.33
f100,0.009982,0.000505,17.33
f101,0.012946,0.001115,11.67
f102,0.012427,0.001930,12.33
f103,0.012605,0.001898,12.00
f104,0.000003,0.000004,735.67
f105,0.000000,0.000000,750.67
f106,0.000000,0.000000,751.67
f107,0.000000,0.000000,752.67
f108,0.000000,0.000000,753.67
f109,0.000000,0.000000,754.67
f110,0.000000,0.000000,755.67
f111,0.000000,0.000000,756.67
f112,0.000000,0.000000,757.67
f113,0.003993,0.001025,65.67
f114,0.005891,0.001379,41.67
f115,0.010240,0.002271,17.33
f116,0.000138,0.000058,623.00
f117,0.000074,0.000009,680.67
f118,0.000070,0.000043,680.00
f119,0.000101,0.000035,653.67
f120,0.003289,0.000696,78.67
f121,0.000000,0.000000,751.67
f122,0.000000,0.000000,759.33
f123,0.000000,0.000000,760.33
f124,0.002653,0.000495,93.33
f125,0.000021,0.000026,721.00
f126,0.004497,0.001552,60.33
f127,0.004186,0.000887,63.33
f128,0.000107,0.000018,647.33
f129,0.000055,0.000008,692.67
f130,0.000052,0.000010,698.67
f131,0.000074,0.000029,679.00
f132,0.005458,0.000557,43.00
f133,0.006100,0.000367,36.33
f134,0.004737,0.001904,56.33
f135,0.004116,0.000379,61.33
f136,0.002276,0.000195,104.33
f137,0.002014,0.000300,118.33
f138,0.002328,0.000417,103.33
f139,0.007918,0.000797,24.33
f140,0.003696,0.001486,73.67
f141,0.002171,0.000548,114.67
f142,0.002190,0.000651,115.67
f143,0.002262,0.000710,114.33
f144,0.000605,0.000356,376.67
f145,0.001580,0.000639,160.33
f146,0.000580,0.000120,347.00
f147,0.000361,0.000220,479.00
f148,0.002652,0.000868,103.33
f149,0.003199,0.000472,77.67
f150,0.002447,0.000539,101.00
f151,0.003699,0.000742,71.33
f152,0.004265,0.001327,64.67
f153,0.006318,0.001527,37.67
f154,0.002096,0.000138,112.67
f155,0.001590,0.000349,146.00
f156,0.001420,0.000525,176.33
f157,0.000257,0.000088,532.67
f158,0.000583,0.000487,416.00
f159,0.000795,0.000167,264.33
